city,state_id,lat,lng,population,density,city_with_state
Dulles Town Center,VA,39.0265,-77.4196,5884,946.0,"Dulles Town Center, VA"
Beardstown,IL,39.9993,-90.4178,5884,627.7,"Beardstown, IL"
Naples Manor,FL,26.0892,-81.7254,5882,3318.3,"Naples Manor, FL"
Estherville,IA,43.3997,-94.8342,5881,421.5,"Estherville, IA"
Finderne,NJ,40.5626,-74.5743,5881,555.1,"Finderne, NJ"
Cheshire Village,CT,41.5041,-72.8969,5879,567.2,"Cheshire Village, CT"
Edgerton,WI,42.8385,-89.0699,5878,545.7,"Edgerton, WI"
Belmar,NJ,40.1798,-74.0255,5877,2171.3,"Belmar, NJ"
South Gate Ridge,FL,27.2856,-82.497,5872,1297.4,"South Gate Ridge, FL"
Patterson,LA,29.691,-91.3096,5868,897.7,"Patterson, LA"
Belle Mead,NJ,40.4684,-74.6559,5867,562.0,"Belle Mead, NJ"
Leisure Village,NJ,40.0445,-74.1852,5866,1736.9,"Leisure Village, NJ"
Blaine,WA,48.9839,-122.7414,5865,405.9,"Blaine, WA"
Swartz Creek,MI,42.9631,-83.8251,5865,540.3,"Swartz Creek, MI"
Hightstown,NJ,40.2686,-74.5253,5864,1835.8,"Hightstown, NJ"
Old Tappan,NJ,41.0163,-73.9855,5863,682.8,"Old Tappan, NJ"
North Hobbs,NM,32.7731,-103.125,5863,86.9,"North Hobbs, NM"
Mount Arlington,NJ,40.919,-74.639,5863,1056.8,"Mount Arlington, NJ"
Willow Springs,IL,41.7333,-87.8859,5862,545.5,"Willow Springs, IL"
Media,PA,39.9199,-75.3889,5860,2966.4,"Media, PA"
Slaton,TX,33.4421,-101.6476,5859,418.9,"Slaton, TX"
Petoskey,MI,45.3649,-84.9888,5859,439.5,"Petoskey, MI"
Port LaBelle,FL,26.7565,-81.3827,5858,210.5,"Port LaBelle, FL"
Silver Lake,NC,34.1409,-77.9089,5858,917.2,"Silver Lake, NC"
Freeport,FL,30.5039,-86.1391,5858,119.4,"Freeport, FL"
Bright,IN,39.2254,-84.8613,5858,180.4,"Bright, IN"
Montrose-Ghent,OH,41.1538,-81.6437,5854,240.5,"Montrose-Ghent, OH"
Hidden Valley Lake,CA,38.8005,-122.5505,5852,230.1,"Hidden Valley Lake, CA"
Richmond,MI,42.8094,-82.7518,5852,781.8,"Richmond, MI"
Newtown Grant,PA,40.2619,-74.9481,5850,1216.2,"Newtown Grant, PA"
Attalla,AL,34.005,-86.1039,5849,322.7,"Attalla, AL"
Finley,WA,46.1697,-119.0447,5848,195.3,"Finley, WA"
Tehaleh,WA,47.1165,-122.1824,5846,258.2,"Tehaleh, WA"
Bay Harbor Islands,FL,25.8877,-80.1334,5843,5691.6,"Bay Harbor Islands, FL"
Kathleen,FL,28.1224,-82.0387,5843,313.7,"Kathleen, FL"
Yoakum,TX,29.2934,-97.1468,5841,492.4,"Yoakum, TX"
Fort Wright,KY,39.0463,-84.5362,5841,663.4,"Fort Wright, KY"
Alma,AR,35.4919,-94.2165,5837,393.2,"Alma, AR"
Carterville,IL,37.763,-89.0841,5836,425.3,"Carterville, IL"
Benton Park,CA,35.3463,-119.0297,5836,3004.6,"Benton Park, CA"
Ulysses,KS,37.5774,-101.3546,5834,697.8,"Ulysses, KS"
Hockinson,WA,45.7302,-122.4833,5833,163.4,"Hockinson, WA"
Princeton,WV,37.3689,-81.0961,5833,747.2,"Princeton, WV"
Columbia,MS,31.2564,-89.8266,5831,333.3,"Columbia, MS"
Turpin Hills,OH,39.1063,-84.3703,5831,758.9,"Turpin Hills, OH"
Cameron Park,TX,25.9706,-97.4775,5830,4127.0,"Cameron Park, TX"
Keyes,CA,37.5573,-120.9114,5827,1435.0,"Keyes, CA"
Bulverde,TX,29.7744,-98.4364,5827,142.2,"Bulverde, TX"
Medina,NY,43.2197,-78.3888,5827,682.0,"Medina, NY"
Sierra View,PA,41.0006,-75.4455,5826,422.9,"Sierra View, PA"
Mattydale,NY,43.0992,-76.1388,5825,1171.1,"Mattydale, NY"
Windcrest,TX,29.515,-98.3818,5825,1046.2,"Windcrest, TX"
Cambria,CA,35.552,-121.0838,5825,267.2,"Cambria, CA"
Du Quoin,IL,38.0019,-89.2323,5822,322.1,"Du Quoin, IL"
Millersville,TN,36.3969,-86.7111,5818,162.7,"Millersville, TN"
Glendora,NJ,39.8405,-75.0677,5817,2158.5,"Glendora, NJ"
Villa Park,CA,33.818,-117.8104,5814,1080.6,"Villa Park, CA"
Country Knolls,NY,42.9085,-73.807,5811,655.2,"Country Knolls, NY"
South Hooksett,NH,43.0331,-71.4254,5808,332.7,"South Hooksett, NH"
Pass Christian,MS,30.327,-89.2436,5802,272.0,"Pass Christian, MS"
Woodstock,VA,38.875,-78.516,5798,587.2,"Woodstock, VA"
International Falls,MN,48.5884,-93.4084,5795,329.1,"International Falls, MN"
Hartford City,IN,40.4537,-85.3736,5789,575.8,"Hartford City, IN"
Childress,TX,34.4293,-100.2516,5786,270.5,"Childress, TX"
Belvedere,SC,33.537,-81.9424,5786,652.6,"Belvedere, SC"
Germantown,OH,39.6325,-84.3645,5784,529.0,"Germantown, OH"
Jamesburg,NJ,40.3493,-74.4399,5783,2530.6,"Jamesburg, NJ"
East Alton,IL,38.884,-90.1074,5782,419.8,"East Alton, IL"
Wolfforth,TX,33.5147,-102.0067,5779,459.6,"Wolfforth, TX"
Old Bethpage,NY,40.7558,-73.4545,5779,535.8,"Old Bethpage, NY"
Granville,OH,40.0646,-82.5024,5778,463.9,"Granville, OH"
Wappingers Falls,NY,41.5984,-73.9181,5775,1989.2,"Wappingers Falls, NY"
Plymouth,PA,41.2404,-75.9507,5771,2076.4,"Plymouth, PA"
Monticello,KY,36.8412,-84.8502,5770,365.8,"Monticello, KY"
Eaton,CO,40.5257,-104.713,5763,704.1,"Eaton, CO"
Las Flores,CA,33.584,-117.6237,5757,882.6,"Las Flores, CA"
Starke,FL,29.9474,-82.1129,5756,309.6,"Starke, FL"
